LOINC_NUM,COMPONENT,PROPERTY,TIME_ASPCT,SYSTEM,SCALE_TYP,METHOD_TYP,CLASS,VersionLastChanged,STATUS,CLASSTYPE,ORDER_OBS,EXTERNAL_COPYRIGHT_NOTICE,EXAMPLE_UNITS,LONG_COMMON_NAME,EXAMPLE_UCUM_UNITS,VersionFirstReleased,LHCForms,FormalName
94714-3,"Beta globulin",MRat,24H,Urine,Qn,Electrophoresis,CHEM,2.68,ACTIVE,1,Both,,"mg/24 H","Beta globulin [Mass/time] in 24 hour Urine by Electrophoresis",mg/(24.h),2.68,false,"Beta globulin:MRat:24H:Urine:Qn:Electrophoresis"
99075-4,Alpha-1-Microglobulin/Creatinine,MRto,24H,Urine,Qn,,CHEM,2.72,ACTIVE,1,Both,,"mg/g creatinine","Alpha-1-Microglobulin/Creatinine [Mass Ratio] in 24 hour Urine",mg/g{creat},2.72,false,Alpha-1-Microglobulin/Creatinine:MRto:24H:Urine:Qn:
14341-2,Globulin/Protein.total,MFr,24H,Urine,Qn,Electrophoresis,CHEM,2.73,ACTIVE,1,Observation,,%,"Globulin/Protein.total in 24 hour Urine by Electrophoresis",%,1.0k,false,Globulin/Protein.total:MFr:24H:Urine:Qn:Electrophoresis
25883-0,Cortisol.free,SCnc,24H,Urine,Qn,HPLC,CHEM,2.73,ACTIVE,1,Both,,nmol/L,"Cortisol Free [Moles/volume] in 24 hour Urine by HPLC",nmol/L,2.00,false,Cortisol.free:SCnc:24H:Urine:Qn:HPLC
25885-5,Cortisol.free,SRat,24H,Urine,Qn,HPLC,CHEM,2.42,ACTIVE,1,Both,,"nmol/24 H","Cortisol Free [Moles/time] in 24 hour Urine by HPLC",nmol/(24.h),2.00,false,Cortisol.free:SRat:24H:Urine:Qn:HPLC
34909-2,Cortisol.free,MCnc,24H,Urine,Qn,HPLC,CHEM,2.73,ACTIVE,1,Both,,ug/mL,"Cortisol Free [Mass/volume] in 24 hour Urine by HPLC",ug/mL,2.11,false,Cortisol.free:MCnc:24H:Urine:Qn:HPLC
32009-3,Cortisol.free/Creatinine,MRto,24H,Urine,Qn,,CHEM,2.73,ACTIVE,1,Both,,"ug/g creatinine","Cortisol Free/Creatinine [Mass Ratio] in 24 hour Urine",ug/g{creat},2.07,false,Cortisol.free/Creatinine:MRto:24H:Urine:Qn:
30171-3,Cortisol.free/Creatinine,SRto,24H,Urine,Qn,,CHEM,2.73,ACTIVE,1,Both,,"nmol/mol creatinine","Cortisol Free/Creatinine [Molar ratio] in 24 hour Urine",nmol/mol{creat},2.04,false,Cortisol.free/Creatinine:SRto:24H:Urine:Qn:
73880-7,Cortisone.free,SCnc,24H,Urine,Qn,,CHEM,2.44,ACTIVE,1,Both,,nmol/L,"Cortisone free [Moles/volume] in 24 hour Urine",nmol/L,2.44,false,Cortisone.free:SCnc:24H:Urine:Qn:
71894-0,Cortisone.free,SRat,24H,Urine,Qn,,CHEM,2.42,ACTIVE,1,Both,,"nmol/24 H","Cortisone free [Moles/time] in 24 hour Urine",nmol/(24.h),2.40,false,Cortisone.free:SRat:24H:Urine:Qn:
56686-9,Hydroxyproline.free/Creatinine,Ratio,24H,Urine,Qn,,CHEM,2.70,ACTIVE,1,Both,,"umol/g creatinine","Hydroxyproline Free/Creatinine [Ratio] in 24 hour Urine",umol/g{creat},2.29,false,Hydroxyproline.free/Creatinine:Ratio:24H:Urine:Qn:
13985-7,Prealbumin/Protein.total,MFr,24H,Urine,Qn,Electrophoresis,CHEM,2.73,ACTIVE,1,Observation,,%,"Prealbumin/Protein.total in 24 hour Urine by Electrophoresis",%,1.0k,false,Prealbumin/Protein.total:MFr:24H:Urine:Qn:Electrophoresis
32736-1,"Beta 1 globulin/Protein.total",MFr,Pt,Urine,Qn,Electrophoresis,CHEM,2.73,ACTIVE,1,Observation,,%,"Beta 1 globulin/Protein.total in Urine by Electrophoresis",%,2.09,false,"Beta 1 globulin/Protein.total:MFr:Pt:Urine:Qn:Electrophoresis"
32737-9,"Beta 2 globulin/Protein.total",MFr,Pt,Urine,Qn,Electrophoresis,CHEM,2.73,ACTIVE,1,Observation,,%,"Beta 2 globulin/Protein.total in Urine by Electrophoresis",%,2.09,false,"Beta 2 globulin/Protein.total:MFr:Pt:Urine:Qn:Electrophoresis"
20550-0,Morphine.free,MCnc,Pt,Urine,Qn,Confirm,DRUG/TOX,2.73,ACTIVE,1,Both,,ng/mL,"Morphine Free [Mass/volume] in Urine by Confirmatory method",ng/mL,1.0m,false,Morphine.free:MCnc:Pt:Urine:Qn:Confirm
