LOINC_NUM,COMPONENT,PROPERTY,TIME_ASPCT,SYSTEM,SCALE_TYP,METHOD_TYP,CLASS,VersionLastChanged,STATUS,CLASSTYPE,ORDER_OBS,EXTERNAL_COPYRIGHT_NOTICE,EXAMPLE_UNITS,LONG_COMMON_NAME,EXAMPLE_UCUM_UNITS,VersionFirstReleased,LHCForms,FormalName
3096-5,"Urea nitrogen",MRat,24H,Urine,Qn,,CHEM,2.73,ACTIVE,1,Both,,"g/24 H","Urea nitrogen [Mass/time] in 24 hour Urine",g/(24.h),1.0,false,"Urea nitrogen:MRat:24H:Urine:Qn:"
31045-8,"Creatinine/Urea nitrogen",MRto,Pt,Ser/Plas,Qn,,CHEM,2.73,ACTIVE,1,Observation,,,"Creatinine/Urea nitrogen [Mass Ratio] in Serum or Plasma",,2.07,false,"Creatinine/Urea nitrogen:MRto:Pt:Ser/Plas:Qn:"
12978-3,"Urea nitrogen^7th specimen",MCnc,Pt,"Dial fld prt",Qn,,CHEM,2.42,ACTIVE,1,Observation,,mg/L,"Urea nitrogen [Mass/volume] in Peritoneal dialysis fluid --7th specimen",mg/L,1.0j-a,false,"Urea nitrogen^7th specimen:MCnc:Pt:Dial fld prt:Qn:"
12977-5,"Urea nitrogen^8th specimen",MCnc,Pt,"Dial fld prt",Qn,,CHEM,2.42,ACTIVE,1,Observation,,mg/L,"Urea nitrogen [Mass/volume] in Peritoneal dialysis fluid --8th specimen",mg/L,1.0j-a,false,"Urea nitrogen^8th specimen:MCnc:Pt:Dial fld prt:Qn:"
12974-2,"Urea nitrogen^3rd specimen",MCnc,Pt,"Dial fld prt",Qn,,CHEM,2.42,ACTIVE,1,Observation,,mg/L,"Urea nitrogen [Mass/volume] in Peritoneal dialysis fluid --3rd specimen",mg/L,1.0j-a,false,"Urea nitrogen^3rd specimen:MCnc:Pt:Dial fld prt:Qn:"
12973-4,"Urea nitrogen^4th specimen",MCnc,Pt,"Dial fld prt",Qn,,CHEM,2.42,ACTIVE,1,Observation,,mg/L,"Urea nitrogen [Mass/volume] in Peritoneal dialysis fluid --4th specimen",mg/L,1.0j-a,false,"Urea nitrogen^4th specimen:MCnc:Pt:Dial fld prt:Qn:"
12975-9,"Urea nitrogen^5th specimen",MCnc,Pt,"Dial fld prt",Qn,,CHEM,2.42,ACTIVE,1,Observation,,mg/L,"Urea nitrogen [Mass/volume] in Peritoneal dialysis fluid --5th specimen",mg/L,1.0j-a,false,"Urea nitrogen^5th specimen:MCnc:Pt:Dial fld prt:Qn:"
12976-7,"Urea nitrogen^6th specimen",MCnc,Pt,"Dial fld prt",Qn,,CHEM,2.42,ACTIVE,1,Observation,,mg/L,"Urea nitrogen [Mass/volume] in Peritoneal dialysis fluid --6th specimen",mg/L,1.0j-a,false,"Urea nitrogen^6th specimen:MCnc:Pt:Dial fld prt:Qn:"
35234-4,"Urea nitrogen",MSCnc,Pt,Ser/Plas,Qn,,CHEM,2.42,DISCOURAGED,1,Both,,,"Urea nitrogen [Mass or Moles/volume] in Serum or Plasma",,2.11,false,"Urea nitrogen:MSCnc:Pt:Ser/Plas:Qn:"
14937-7,"Urea nitrogen",SCnc,Pt,Ser/Plas,Qn,,CHEM,2.73,ACTIVE,1,Both,,mmol/L,"Urea nitrogen [Moles/volume] in Serum or Plasma",mmol/L,1.0k,false,"Urea nitrogen:SCnc:Pt:Ser/Plas:Qn:"
